,Unnamed: 0,station_name,place_name,author_name,rating,text,time,Language,Sentiment,Sentiment_Score,Latitude,Longitude,assigned_district,daerah,projected_population
0,0,TAMAN ANDA,Petronas Taman Anda,Stephen ong,3,"Another station charging higher than normal diesel fuel with B10, not giving consumers access to the cheaper diesel blend of Euro5. This practice should be prohibited!",1676626422,en,very negative,0.6478814482688904,4.629239,101.114431,"Kinta, Perak","Kinta, Perak",941558.8869696336
1,1,TAMAN ANDA,Petronas Taman Anda,Che Syaiful,4,Got petrol here,1726010026,en,very positive,0.4297294318675995,4.629239,101.114431,"Kinta, Perak","Kinta, Perak",941558.8869696336
2,2,TAMAN ANDA,Petronas Taman Anda,Mohammad Fithri Mohammad Sharifuddin,4,"most of the staff are very helpful, kind and always smiling",1601110289,en,very positive,0.5494364500045776,4.629239,101.114431,"Kinta, Perak","Kinta, Perak",941558.8869696336
3,3,TAMAN ANDA,Petronas Taman Anda,Stephen lee,5,Staff always with smiling face,1600260670,en,very positive,0.2989478409290313,4.629239,101.114431,"Kinta, Perak","Kinta, Perak",941558.8869696336
4,4,TAMAN ANDA,Petronas Taman Anda,Iqbal Hakim (Kim),5,"Its okay, typical petrol station.",1614015946,en,neutral,0.778627872467041,4.629239,101.114431,"Kinta, Perak","Kinta, Perak",941558.8869696336
5,5,PARIT BUNTAR,Caltex,Mohd Ammar,5,"One of two choices you can opt when in parit buntar town
Next to this petrol pump got another petrol pumo that is petronas
There is pizza restaurant attacthed to the main building of this petrol pump
The offer sometimes are very good to avail

The only drawback is you have to find a good spot if u wish to make a uturn and it really difficult for big vehicle",1542117724,en,positive,0.4879423379898071,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
6,6,PARIT BUNTAR,Caltex,Amirul Husnisham,5,"One of the best Petrol Station in Malaysia, the service was unbelievable! All the staff was very helpful and kind, they treat us like their friend. Second is the toilet. It was so cozy, beautiful and the most important is clean. The third one is the delicious ""on the go"" food. There's a lovely Pizza and Bun served there. The also includes you with refreshing drinks such as Milo, Lemonade and Coffee. You can also grab your easy breakfast here! Sooo Helpful!!!",1592062531,en,very positive,0.8900432586669922,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
7,7,PARIT BUNTAR,Caltex,moon lucas,5,Most clean petrol station. Of course alot snack n drink to choose from.,1569220138,en,positive,0.4121651649475097,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
8,8,PARIT BUNTAR,Caltex,onn keong leong,5,Very friendly owner. Treat everyone like a close friend.,1496890312,en,very positive,0.6367945671081543,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
9,9,PARIT BUNTAR,Caltex,eimoc mirror,4,Good and clean petrol stations. Strategic location.,1489928693,en,very positive,0.4893348813056946,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
10,10,PARIT BUNTAR,Petronas,Mohd Ammar,5,"Good petrol pump
Location strategic
So kind that they make small gate to the masjid behind
Limited filling pump due to small area

Service tip top
The grocery inside need to be updated up to weekly basis

Toilet and other facilities well maintained",1555642937,en,positive,0.6614707112312317,5.115475,100.484894,"Bandar Baharu, Kedah","Bandar Baharu, Kedah",46616.9544654346
